Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Loamy,6.991749487,53.3204465,0.9507663377,2.643830108,149.606434,52.0511686,58.6639495,24.57175092,65.44673867,1158.146298,Sugarcane,Sowing,Kharif,Canal,Maize,North,208.3757349,5.210079235,MOP
Clay,4.34529286,13.86557015,0.6533675549,0.8446169249,711.7064036,82.10342962,49.90695629,16.54249536,53.7081634,1046.604259,Tomato,Vegetative,Kharif,Canal,,Central,121.0009941,2.631509314,MOP
Silt,5.656560527,57.09477428,0.6241095315,0.5816785696,138.3441259,,36.75424116,42.2979461,31.9884258,2693.021311,Maize,Flowering,Kharif,Sprinkler,Sugarcane,West,221.2668001,5.242512666,DAP
Clay,4.993189278,37.88616097,1.411456771,0.506519548,137.550168,24.45502586,138.8295702,15.26494536,78.07897344,2687.406642,Maize,Flowering,Zaid??,Drip,Cotton,South,62.07108772,5.196483562,DAP
,7.278993266,53.04354717,0.3561100884,1.522212051,29.88054552,38.19916061,51.61744327,28.35851419,44.51715386,423.2728268,,Sowing,Kharif,Sprinkler,Wheat,West,295.9152865,7.590044285,Urea
Silt,5.927959693,22.71178582,1.407622955,0.8140850569,143.2189091,33.2821433,45.68507836,29.38671247,50.33128845,2643.293558,Sugarcane,Flowering,,Canal,Tomato,South,203.6359825,,nan
Sandy,5.916543605,47.43869003,0.379138511,0.3003392221,174.4095655,,27.54802193,13.14444158,77.85931734,1863.575293,Rice,Vegetative,,Sprinkler,Maize,West,,,MOP
Clay,78.34619727,25.37400869,,2.29410702,128.9310123,36.74961789,111.7367323,33.05379652,77.37097825,892.947237,Potato,Vegetative,Rabi,,Potato,North,57.97977738,,NPK
Sandy,6.596898599,34.83123481,0.3536199364,1.732559372,70.54632553,81.26974353,97.16260592,22.32163851,49.08947274,9515.653198,Maize,Harvest,Rabi,Canal,Maize??,Central,287.9379215,49.70624689,Zinc Sulphate
Clay,9.200581055,11.69495607,,0.8845502683,131.0811676,64.7671188,102.6253321,33.20356683,50.83448423,346.0200068,Rice,Harvest,Rabi,,Potato,North,256.5678653,2.305387792,Zinc Sulphate
Clay,,20.2616913,0.6251701724,2.622217425,22.88931148,,82.72749487,18.50800215,,1986.760805,Sugarcane,Sowing,Zaid,Canal,Wheat,North,169.7152437,9.039176814,Urea
Sandy,6.660933181,8.572624282,0.9436153293,2.167189679,78.22092015,43.91009879,103.837965,23.55420834,49.68702635,2861.414495,Rice,Vegetative,,Sprinkler,Tomato,Central,296.6253324,5.772337728,NPK
Sandy,5.721309125,23.8016465,0.5348228102,1.414925996,59.7615378,80.38029923,23.97090291,25.34674697,73.84162192,2486.428859,Rice,,,Rainfed,Wheat,North,1764.211314,9.279446166,Urea
Clay,7.157902187,11.71528717,0.9632199896,0.4390471391,21.77479994,58.06420727,61.60433434,26.77047738,76.06290912,2506.000725,Wheat,Vegetative,,Sprinkler,Sugarcane,East,162.9503795,5.100028798,Urea
Loamy,3.508846701,42.57458643,,2.526839258,100.5376195,50.51663754,74.17978966,16.67728288,78.83589331,3018.45776,Maize,,Rabi,Sprinkler,Rice,North-,189.4859727,1.67358938,Compost
Silt,6.750439046,,0.7365955531,2.252614263,148.4768605,13.92797044,25.99535019,22.25659034,97.1162617,2248.264031,Tomato,Sowing,Rabi,Drip,Rice,West,297.1222198,,DAP
,5.889386198,49.95880799,1.413705804,0.9798394205,103.6733875,64.85409811,15.30299962,33.41474624,57.98459997,1845.059472,Tomato,Harvest,Rabi,Canal,Maize,North,246.0744674,8.966941055,MOP
Silt,8.508085431,18.86494288,1.741290729,1.598080792,86.103616,64.85985063,321.5800045,26.6402036,51.87206036,231.4839639,Rice,Harvest,Kharif,Rainfed,Rice,Central,114.1658683,,Zinc Sulphate
,5.653180496,63.53124947,0.7759397183,1.352909344,116.0596101,,143.5144221,28.34082464,42.40204329,835.7748499,Maize,,Zaid,,Rice,East,174.2998119,4.135034506,Compost
Loamy,7.498508848,55.59834868,0.5849126967,1.77817902,168.727467,13.67062394,24.65941544,33.14498595,,1924.117694,Wheat,Flowering??,Zaid,Rainfed,Tomato,Central,307.2502494,1.946380502,DAP
Loamy,6.289206124,20.11468632,0.394354316,1.777952584,179.5037591,25.54152626,118.3010493,12.59672127,,3044.883134,Wheat,Harvest,Rabi,Rainfed,Wheat,South,87.42587194,7.208230484,DAP
Sandy,5.902381055,38.56932157,1.228771267,1.270761607,25.76848814,28.6127153,12.08565443,,33.59403483,2278.034606,Rice,,nan###,Rainfed,Wheat,Central,106.5556241,4.843695348,Urea
Loamy,5.360922595,14.98452574,,1.583363696,83.13299738,11.60965237,,40.28555465,48.89643848,2009.429276,Rice,Flowering,Kharif,Sprinkler,Wheat,North,227.8386612,6.164059371,DAP
Sandy,9.231416662,59.2366787,0.865486584,2.320964873,77.4116683,80.50044847,50.45627694,20.60694965,37.75000252,750.8587675,Tomato,Sowing,Rabi,Rainfed,Wheat,South??,171.8880334,7.127950006,Zinc Sulphate
Loamy??,7.350562123,45.6850908,0.8422902105,0.2105164831,49.5267945,,32.78262272,14.95358181,31.22482097,3014.012644,Wheat,Sowing,Zaid,Sprinkler,Rice,Central,80.2202425,1.599077413,DAP
Silt###,7.350072016,8.467581494,1.575352753,0.3152048528,68.45179491,94.72014234,,6.690947136,35.73460046,1650.042145,Cotton,Harvest,Kharif,,Potato,East,192.7351841,1.536657481,DAP
Silt,5.689157873,24.15288605,,1.150691927,70.83181716,20.04475456,56.33679378,6.826637049,69.46681924,1654.592814,,Sowing,Kharif,,Potato,South,276.0744737,,DAP-
Clay,5.784316174,14.37702469,0.6367550296,1.441390106,711.7064036,,18.70253373,37.4665144,,3105.034476,Tomato,Flowering,Kharif,Sprinkler,Wheat,West,111.3494171,,Urea
Silt,6.325101218,32.32370463,,0.7158021304,101.9929993,637.820759,32.28683756,326.6906569,74.64985019,1985.110796,Cotton,Harvest,Kharif,Rainfed,Wheat,South,60.50708088,1.810631395,Compost###
Clay,4.005621615,,1.170236807,2.051006087,164.6616559,14.33265937,18.3622569,23.7494841,45.64204465,1041.208987,Potato,Flowering,Kharif,Canal###,Potato,South,314.0902606,6.266681656,DAP
Silt,6.932650306,,8.456875746,0.829910696,50.27688672,14.51745707,80.13375537,16.15457436,54.5150528,,,Sowing,,Rainfed,Cotton,,146.6458151,5.420192389,Urea
Sandy,7.773949005,,,1.973461551,35.76588934,77.33666112,92.93798021,16.47244862,36.82527834,415.1536246,,Vegetative,Kharif,Rainfed,Potato,Central,182.1167687,5.810890004,Urea
nan??,4.956724879,17.47086342,0.8708280824,2.603437223,84.05839234,77.41102073,100.9234249,27.32939986,85.85713069,3774.189749,Tomato,Flowering,Rabi,Rainfed,Potato,South??,198.0530881,7.098992477,Compost
Clay,4.082230897,16.0952615,0.9537089803,0.4057900306,104.8071547,45.86822449,58.74428893,32.1695344,67.3524856,511.9897359,Sugarcane,Sowing,Rabi,Sprinkler,Sugarcane,South??,,49.70624689,Compost
Clay,7.076821035,,1.001982267,1.599839805,49.86684745,97.79413284,67.64636173,34.58121461,31.02927583,2708.589085,Rice,Flowering,Rabi,Sprinkler,Potato,South,115.3706694,1.962012072,Urea
Loamy-,7.979321856,65.61110774,1.161588282,,711.7064036,28.18066571,111.1233786,12.04513669,45.08887059,747.8296127,Tomato-,Vegetative,Rabi###,Rainfed,Tomato,Central,254.3436027,4.561217944,Urea
Sandy,3.480278616,12.17951532,0.7906981722,,154.242122,28.51970871,,326.6906569,62.03649216,2838.205121,Rice,Harvest,Rabi,Canal,Potato,East,,4.37408426,DAP
Silt,5.802303025,43.74162318,0.8403865148,2.605308962,32.97419041,,11.93781457,40.63807562,91.16478718,1407.397239,Sugarcane,Flowering,,,,Central,54.60681887,,Urea
Loamy,2.456148438,22.5150768,1.009499087,1.530269761,29.17186481,22.84615695,40.00519836,18.98525219,,1964.779645,Cotton,Sowing,Kharif,Drip,Rice,East,185.8921013,5.360651469,Urea
Silt,4.518069368,24.35710201,0.8585236144,1.532391591,113.3759287,77.31306804,83.67422672,25.23869306,,324.6192081,Rice,Vegetative,Zaid,,Wheat,South,303.6676518,2.570396608,Compost
Silt,78.34619727,34.69590069,1.346488038,0.2647865284,95.23335175,,30.02154931,18.91262636,74.68543501,1719.851513,Rice,Vegetative,Zaid,Drip,Tomato,Central,205.8487897,,MOP
Loamy,,36.67499721,0.569431355,2.122630018,103.490083,70.75297474,111.1548165,25.75915707,28.41519652,1558.574855,Maize,Harvest,Zaid,Drip,Rice,Central,,4.428973292,Zinc Sulphate
Loamy,3.781325098,18.90974507,0.391139583,1.528349352,,26.56589731,93.05257626,26.09807917,48.83701578,247.7157466,Maize,Flowering,Kharif,,Maize,Central,188.1834092,2.262154479,DAP
Loamy,4.995424716,42.93015815,0.8452162149,,96.37038099,53.56092661,95.10542689,34.64325686,34.49691051,1680.609936,Maize,Sowing,Rabi,Sprinkler,Rice,South,53.61356815,7.394430539,Compost
Loamy,7.704394028,35.20287822,0.4627124344,2.314023372,60.27001008,66.04831335,84.89478524,19.41948791,26.03261753,2602.498086,Wheat,Vegetative,Zaid,Sprinkler,Cotton,South,172.9210561,2.211769664,NPK
Loamy,9.344119152,28.11350184,0.9075618799,1.53310283,63.06816555,40.90827761,83.32105884,,33.03418957,287.14398,Rice,Vegetative,Zaid,Sprinkler,Cotton,East,202.868946,2.300556997,Urea
Silt,4.357076501,41.5382085,,0.8653548761,67.7884696,75.74489768,64.58317878,27.02574703,46.52472481,1591.775814,Sugarcane,Sowing,Kharif,Drip,,East,86.55004705,2.82376791,DAP
Loamy,7.287444938,45.84609299,0.894807937,0.3649585357,43.25084747,14.83568541,68.93644382,,88.94982794,298.0030342,Wheat,Sowing###,Zaid,Canal,Tomato,Central,154.5076033,5.108647347,Urea
Sandy,78.34619727,,1.237674419,0.7608130841,101.2554284,77.49292431,107.9210379,34.42291397,52.25821953,2740.19492,,Harvest,Rabi,Drip,Wheat,West,114.4916871,4.727394856,
Clay,5.121128772,32.65544957,0.3761248141,15.39306686,43.11885493,20.08419252,20.66371172,35.18455983,70.08588827,9515.653198,Wheat,Harvest,Zaid,Sprinkler,Cotton,North,143.9462216,,Urea
Loamy,7.808172707,14.0280814,1.456571408,0.4350960699,100.2113239,,97.11005077,28.61429465,63.62561971,331.7810183,Sugarcane,Harvest###,Zaid,Sprinkler,,South,84.70918269,5.377376858,DAP
Loamy,6.378088377,14.97784349,0.8423386052,,57.00039284,29.57327141,9.631454948,18.74604017,68.4048693,2838.776958,Wheat,Harvest,Rabi,Sprinkler,Rice,North,111.546733,8.271952418,DAP
Silt,6.454516722,44.37457165,0.2583675956,1.438089011,37.02564873,83.63073835,92.25819703,33.66022891,43.1820929,1279.883486,Maize,Vegetative,Kharif,Sprinkler-,Maize-,North,91.54164307,3.061289801,Urea
Loamy,6.44839628,56.11271057,0.8656353282,2.361777852,54.26350543,32.43123134,84.26149121,22.43242641,48.96137247,450.0928128,Potato,Sowing,Kharif,Sprinkler,,North,112.0196758,4.702919907,DAP###
,4.432440405,,1.296865131,1.896597737,99.76368834,,125.0779929,,53.05944837,2074.107211,Tomato,Vegetative,Rabi###,Rainfed,Wheat,East,195.1239068,,Compost
Loamy,4.16737372,,0.3288244824,,71.58647014,55.79573677,120.3994635,12.93667216,,2169.28658,Wheat,Sowing###,Rabi,Rainfed,Sugarcane,South,193.7237898,,Zinc Sulphate
Silt,5.415915322,25.29210929,0.9211345848,1.771929269,44.62901714,79.94756586,68.41213704,18.30800555,51.24233917,,Cotton,,Kharif,Drip,Potato,West,258.0907823,3.694907656,Urea??
Loamy,7.341971878,,1.36258724,2.234959944,711.7064036,50.29892173,23.07720953,22.81049033,44.17924525,1130.242524,Maize,Vegetative,Kharif,Rainfed,Tomato,West,54.46601983,3.186789642,Urea
Clay,7.39131144,19.82825919,0.2104752137,0.188681441,38.03927488,,117.8772415,21.12704919,34.89877889,1538.002095,,Vegetative,Kharif,Sprinkler,Sugarcane,West,252.3555115,6.637489221,Urea
Silt,6.092925076,,,0.8313093669,65.37677934,48.88844434,88.41101748,21.2421504,,2534.774739,Rice,,,Rainfed,Maize,Central,245.2477004,1.167530873,Zinc Sulphate
Clay,8.148317219,48.73874764,0.6410625878,0.5139898056,113.170494,17.34083515,15.75858157,17.35831214,61.21183228,1856.793799,Maize,Vegetative,Rabi,,,South,99.7309105,2.425826522,DAP
Silt,7.084635762,56.14249906,0.6593612807,,86.2078602,35.10809884,108.6569776,18.47434479,59.08438322,1323.75844,Tomato,,Rabi,Drip,Potato,East,1764.211314,3.755692832,DAP
Loamy,7.048244252,8.624237861,1.094638446,2.634241464,63.33551216,18.96943552,53.00280851,326.6906569,85.81721843,2040.114039,Potato,Harvest,Kharif,Canal,Maize###,East,,1.596624565,Urea
Clay,5.159878137,22.69158803,0.2104695207,0.6789199938,34.18312393,78.12768329,20.97576764,,55.33888911,406.2078267,,Flowering,Rabi,,Tomato,Central,250.0094987,3.348272868,nan??
,7.956059198,43.46325674,1.169931038,0.3797321019,130.0397782,637.820759,49.29432521,26.79717431,49.47350492,1143.477684,Rice,Sowing,Rabi,Drip,Sugarcane,East,92.0110031,49.70624689,MOP
Sandy??,78.34619727,49.47333243,0.2262249558,2.198747009,,76.42583684,73.84888885,14.59762575,50.16723799,859.115713,Sugarcane,Harvest,Kharif,,Potato,South,85.16689748,3.132283935,Compost
,5.528906011,65.45282396,0.5269842047,0.7294293238,161.3017175,44.44307782,60.83175686,33.3232821,42.12589317,2131.877001,Sugarcane,Harvest,Zaid,Canal,Potato,Central,61.62817982,4.724063677,SSP
Silt,7.999090348,10.99445192,0.7081127154,1.2211965,126.5460128,637.820759,14.9938699,16.1503861,39.61510597,1940.487879,Potato,Harvest,Zaid,Sprinkler,Potato,West,279.1140621,,MOP
Sandy,6.01188721,,0.6664373581,0.3535527774,74.77326599,56.9024165,,22.9762894,,9515.653198,Wheat,Vegetative,Zaid,Canal,Tomato,North,203.2269267,6.093915074,NPK
Silt,6.528224609,45.48191617,0.5122204932,2.489390796,,48.96597803,75.34593069,,,1405.566459,Potato,Vegetative,Rabi,Sprinkler,,West,62.49193922,1.424972172,NPK
,8.351543392,12.03397141,,1.675103722,149.5495375,42.54482077,34.79841001,15.05444464,41.55295237,592.9400282,Tomato,Vegetative,Zaid,Rainfed,Cotton,North###,296.4339368,6.14250693,Zinc Sulphate
Loamy,4.861497925,31.66124589,1.204413144,2.472035023,94.0360033,,52.92722653,26.50356217,49.46287693,875.8072681,Tomato,Flowering,Kharif-,Rainfed,Potato,South,78.00688519,7.036883767,
Clay,5.166290075,38.79616418,1.282313864,0.9023142693,130.2428189,36.32769101,13.35153888,18.70055984,,3053.027906,Cotton,,Zaid,Drip,Tomato,South,292.6546202,2.323893324,DAP
Sandy###,8.621420974,21.7896942,0.8167088925,0.9211453464,94.79526351,,102.5493258,39.24243564,69.51435212,525.1398107,Potato,Harvest,Kharif,Drip,Tomato,South,236.8368242,2.205443821,DAP
Silt,5.190879812,17.21329425,1.231878522,2.5639315,69.84166346,54.76356155,105.3298913,26.8728862,57.84058768,1836.114963,Tomato,Flowering,Rabi,Drip,Cotton-,East,185.4276308,1.862640446,DAP
Loamy,7.647263785,37.25305427,1.707716892,,77.13823548,16.06814917,41.76863449,326.6906569,30.91339569,865.7482359,Wheat,Flowering,Rabi??,Rainfed,Tomato,South,,5.472574754,
Sandy,5.246290344,31.01623109,0.636464567,1.796068739,79.38052454,45.64444738,59.93042742,25.84966551,76.60649065,,,Sowing,Kharif,Drip,Rice,Central,147.6477454,5.264713185,
Silt,6.576044348,50.47091888,0.4881434409,2.077033505,89.94292659,88.05769897,16.78548487,49.67475854,,377.9563889,Potato,Vegetative,,Rainfed,Rice,East,158.0574821,3.915603804,MOP
,,23.18165408,,,54.98360927,20.67208893,124.9750471,31.8479153,58.0269894,2857.853136,Tomato,Sowing,Kharif,Rainfed-,Rice,East,,1.897881329,
Silt,6.027875451,24.19571648,0.9088683097,3.160293607,24.61182578,23.05345659,321.5800045,36.36199898,71.03639388,394.8291593,Rice,Sowing,Kharif,Rainfed,Maize,East,143.7584407,4.408032671,Urea
Sandy,6.643074462,46.98861928,1.569380434,2.311441503,127.4482518,40.91517245,87.37941152,34.59667242,45.92105693,482.6175283,Maize,Flowering,Kharif,Rainfed,Sugarcane,East,274.9993394,3.038648857,DAP
Sandy,5.528208868,58.22196301,1.021687775,1.695726457,101.6075293,33.44490948,106.7724005,16.35387449,51.09140709,1365.850925,Wheat,Harvest,Kharif,,,West,103.0026693,,DAP
Sandy,4.159006366,11.52139855,1.075348932,2.711390804,41.93610983,23.0529153,108.2922923,11.87851282,43.94986122,,Potato,Harvest,Zaid,Rainfed,,South,279.1453608,4.218637778,Urea
Clay,5.827007774,53.42834002,0.4018816219,0.514113894,,83.56863611,,34.09042937,72.88322538,2700.220452,Sugarcane,,Kharif,Drip,Cotton,West,105.6372243,1.037672084,Zinc Sulphate
